Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
05.09.2018;178,50000;178,46000;181,25000;178,28000;44505050
04.09.2018;182,00000;179,50000;182,49000;177,71000;56794110
03.09.2018;181,72000;181,21000;182,87000;180,15000;31275240
31.08.2018;177,61000;182,00000;182,00000;175,61000;63814120
30.08.2018;184,61000;178,00000;185,57000;177,25000;66285490
29.08.2018;182,77000;183,50000;183,85000;181,31000;39285100
28.08.2018;183,35000;182,00000;184,64000;181,22000;49610370
27.08.2018;181,47000;183,27000;183,83000;180,52000;51721470
24.08.2018;178,00000;180,39000;180,39000;172,80000;133262230
23.08.2018;188,44000;178,71000;189,06000;178,55000;147648980
22.08.2018;192,43000;187,80000;193,69000;187,56000;66396800
21.08.2018;192,00000;191,80000;192,34000;189,55000;40349600
20.08.2018;190,99000;191,20000;193,99000;190,64000;49443050
17.08.2018;191,83000;189,55000;192,43000;188,59000;45242690
16.08.2018;189,00000;191,60000;192,28000;188,22000;54684020
15.08.2018;192,35000;187,98000;194,00000;186,53000;77725280
14.08.2018;192,98000;192,76000;195,98000;188,20000;82753490
13.08.2018;182,05000;190,00000;193,39000;180,15000;106701070
10.08.2018;194,00000;186,15000;196,85000;183,01000;113592570
09.08.2018;189,99000;195,90000;195,90000;182,06000;160336490
08.08.2018;201,53000;193,20000;202,45000;191,51000;142075030
07.08.2018;205,19000;201,79000;207,95000;201,55000;60553370
06.08.2018;201,80000;203,90000;205,20000;199,57000;52730870
03.08.2018;206,49000;202,21000;206,55000;202,00000;74165120
02.08.2018;208,54000;206,60000;211,72000;205,13000;58115220
01.08.2018;213,50000;210,60000;215,20000;210,57000;37666650
31.07.2018;211,09000;214,86000;214,94000;210,24000;45260950
30.07.2018;207,77000;211,33000;212,49000;206,56000;48372730
27.07.2018;210,00000;208,90000;211,22000;205,58000;58628430
26.07.2018;215,70000;210,00000;216,51000;209,11000;59754670
25.07.2018;211,00000;213,70000;215,45000;208,34000;76868200
24.07.2018;209,00000;215,45000;215,45000;208,92000;54142290
23.07.2018;205,40000;208,42000;210,40000;205,25000;55275810
20.07.2018;207,77000;204,34000;210,95000;201,10000;126702190
19.07.2018;216,90000;207,50000;217,11000;206,56000;93333130
18.07.2018;222,00000;216,28000;224,00000;215,64000;61197290
17.07.2018;227,00000;222,50000;227,00000;220,52000;62586090
16.07.2018;230,10000;227,99000;231,00000;226,42000;35579630
13.07.2018;227,30000;229,85000;230,86000;227,22000;39651270
12.07.2018;226,76000;226,60000;228,45000;225,10000;40488130
11.07.2018;229,20000;227,57000;229,20000;224,80000;58161000
10.07.2018;230,95000;230,30000;232,25000;228,00000;43340410
09.07.2018;228,50000;230,00000;231,24000;228,20000;50069820
06.07.2018;225,01000;226,71000;227,59000;221,61000;55247910
05.07.2018;217,50000;224,54000;224,54000;216,85000;53737300
04.07.2018;218,23000;217,70000;219,56000;216,61000;20277940
03.07.2018;221,01000;218,45000;222,45000;217,10000;38401730
02.07.2018;217,01000;221,01000;222,83000;216,00000;55213130
29.06.2018;210,10000;218,00000;218,30000;210,09000;76707660
28.06.2018;207,85000;208,50000;210,63000;207,01000;46877330
27.06.2018;201,85000;207,95000;209,33000;198,55000;81134770
26.06.2018;203,64000;199,91000;205,00000;199,60000;54747990
25.06.2018;204,50000;202,51000;206,94000;202,51000;56516980
22.06.2018;211,62000;214,43000;215,00000;209,62000;67568430
21.06.2018;212,25000;210,40000;214,16000;208,62000;65102970
20.06.2018;207,00000;212,20000;212,37000;207,00000;60991640
19.06.2018;204,00000;206,00000;206,77000;202,11000;51734620
18.06.2018;209,00000;206,30000;211,20000;205,01000;54276700
15.06.2018;213,90000;209,36000;215,00000;207,90000;86209880
14.06.2018;214,82000;214,00000;217,49000;213,60000;42732410
13.06.2018;211,23000;215,00000;216,13000;209,63000;48675610
11.06.2018;212,50000;210,35000;213,61000;208,33000;28263970
09.06.2018;211,50000;212,60000;213,27000;211,50000;6508460
08.06.2018;216,00000;210,95000;217,00000;210,25000;67632240
07.06.2018;218,94000;216,41000;219,45000;216,41000;32483420
06.06.2018;216,00000;217,90000;218,19000;214,65000;35857770
05.06.2018;220,00000;215,56000;220,79000;214,51000;51368750
04.06.2018;221,13000;220,00000;222,67000;218,57000;32256200
01.06.2018;221,50000;220,00000;222,77000;220,00000;35532280
31.05.2018;221,98000;222,36000;224,35000;220,00000;67415130
30.05.2018;219,30000;221,01000;221,55000;217,88000;48626980
29.05.2018;220,50000;219,00000;222,13000;217,10000;35940720
28.05.2018;219,47000;220,90000;221,50000;219,20000;23187310
25.05.2018;222,51000;220,00000;223,48000;219,00000;50137840
24.05.2018;221,91000;222,01000;223,70000;221,12000;37214260
23.05.2018;223,11000;221,00000;224,07000;221,00000;48854650
22.05.2018;227,27000;225,60000;227,27000;222,95000;43268320
21.05.2018;223,79000;226,21000;226,80000;223,55000;38991090
18.05.2018;225,70000;222,20000;228,16000;222,20000;60330030
17.05.2018;230,01000;226,05000;231,25000;226,05000;43455710
16.05.2018;230,88000;229,80000;232,00000;226,70000;70162450
